id,uuid,timestamp,date,coverurl,url,comment,duration,title,bonus,artist,show,videourl
1,1efc70f7-ae68-4b18-953f-64c65f27f275,1586349889896,07 Oct 19,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/eastern-front-show.jpg,https://mcdn.podbean.com/mf/web/2btp9x/October_3rd_2019.mp3,Full force shoe throwers from some of Estonia's finest. Making sure the levels are perfectly in check...,59:58:00,#001,FALSE,"Mr Mürk, Dr Teng & Conflict",Eastern Front,
2,1efc70f7-ae68-4b18-953f-64c65f27f275,1586349890014,10/7/2019,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/eastern-front-show.jpg,https://mcdn.podbean.com/mf/web/mxfa99/July_27th_2019.mp3,Full force shoe throwers from some of Estonia's finest. Making sure the levels are perfectly in check...,57:25:00,#002,FALSE,"Mr Mürk, Dr Teng & Conflict",Eastern Front,
3,1efc70f7-ae68-4b18-953f-64c65f27f275,1586349890099,10/8/2019,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/eastern-front-show.jpg,https://mcdn.podbean.com/mf/web/dw54ke/July_18th_2019.mp3,Full force shoe throwers from some of Estonia's finest. Making sure the levels are perfectly in check...,59:34:00,#003,FALSE,"Mr Mürk, Dr Teng & Conflict",Eastern Front,
4,1efc70f7-ae68-4b18-953f-64c65f27f275,1586349890176,11/12/2019,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/eastern-front-show.jpg,https://mcdn.podbean.com/mf/web/9mwy32/20191107-1900-Mr_M_rk.mp3,Full force shoe throwers from some of Estonia's finest. Making sure the levels are perfectly in check...,55:39:00,#004,FALSE,"Mr Mürk, Dr Teng & Conflict",Eastern Front,
5,1efc70f7-ae68-4b18-953f-64c65f27f275,1588262054098,26th Apr 20,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/showartwork/Screenshot_2020_04_30_at_16.19.01.png,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/4sight___the_after_party__1__final_.mp3,"It's been a long weekend. There have been birthdays, shenanigans, Parallaxed did a Wilson. Time for a well-earned wind-down. \n\nTracklist:\n\nDJ Shadow - Midnight in a perfect world\nNneka - Streets lack love\nEasy star all stars - With a little help from my friends\nSouls of Mischief - 93 'til infinity\nGuru - No time to play\nRJD2 ft Blueprint - Final frontier\nDynamite MC - Visions\nThe Avalanches - Frontier psychiatrist\nLazy Boy - Facts of life\nHalf Pint - One in a million\nLemon Jelly - Page one\nInner City - Good life\nAudio Bullies - Face in a cloud\nRusko - Jahova\nPraga Khan - Injected with a poison\nLongfinga and Steppa Style - Wiggle and wine\nFlight of the Conchords - Buisness time\nFresh - The immortal\nDanny Byrd ft. Liquid - Sweet harmony (jungle remix)\nEZ Rollers - Back to love\nDanny Byrd - Amen alley\nGhostface Killah ft NeYo - Back like that (Marky & Bungle remix)\nDj Hybrid - Puffin Erbz (VIP)\nFresh ft. Darrison - All that jazz\nRawthang ft. Kari Rueslatten - Beautiful morning (Black Sun Empire remix)\nBlue Sonix - Luv me (Logistics remix)\nBlack Sun Empire - Breathe (remix 1)\nEd Rush & Optical - Chubrub\nIcicle ft SPMC - Dreadnaught (Phace remix)\nNoisia - Running blind\nBCUK - The nine\nAdam Freeland - We want your soul (Ed Rush & Opticle remix)\nFresh - Clap\nCause & Effect - Last laugh\nTantrum Desire Ft. Coppa - Repeat\nTC - Me and my friends\nMoving Fusion - Thunderball\nSerum - Vendetta\nCalvertron & Krafty Kuts - Feel The melody\nZinc - Super sharp shooter (Jantsen & Dirt Monkey remix)\nNu:Logic ft Lifford - Everlasting days\nBungle ft Laura Pacheco - Resized (G Dub remix)\nZinc - Ready or not (2003 remix)\nBarron ft Ayah - Endless summer\nS.P.Y ft Riya - Loneliness\nClipz - Push it up (TC remix)\nTantrum Desire - Pump\nRoni Size ft Rahzel - Out of breath\nSpectrasoul ft Lilly Mckenzie - Shelter (VIP)\nD.Kay & Epsilon ft MC Verse - Honey (Ill Skillz remix)",02:32:26,#001 - Start As You Mean To Go On,FALSE,4sight,The After Party,
6,1efc70f7-ae68-4b18-953f-64c65f27f275,1589197220895,3rd May 20,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/showartwork/Screenshot_2020_04_30_at_16.19.01.png,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/4sight_the_after_party_2_threshold_fm_128.mp3,"The weather is miserable for the first time in weeks, but 4sight fights off toothache to bring us two hours of sunshine. This episode is sponsored by codeine.\n\nTracklist:\n\nLemon Jelly - Space walk\nFat Freddies Drop - Wandering eye\nTribe Called Quest - Can I kick it\nNightmares OIn Wax - Ease jimi\nAceyalone & Rjd2 - Here and now\nPharcyde - Runnin'\nThe Fugees - No woman, no cry\nArlo Parks - Eugene\nLuniz - I got 5 on it\nDj Earworm - Stairway to bootleg heaven\nDj Shadow - Blood on the motorway\nChemical Brothers ft Fatlip- The salmon dance\nGarfunkel & Oates - Go kart racing\nDj Shadow - Organ donor (extended overhaul)\nBlack Sun Empire & State of Mind - Thug\nTraced - Cybernetics\nResonate - Bomb squad\nEmperor - She said (VIP)\nHigh Contrast - Mermaid scar (Ulterior Motive remix)\nEncode - Aught (Gydra remix)\nSaxxon & Calculon - Alley girl (Bazil remix)\nMob Tactics - Get dirty\nVolatile Cycle ft Nuklear MC - Impact\nMob Tactics - Rave weapon\nAgressor Bunx - The order\nMob Tactics - Shark tank\nEvol Intent - The MuhFuckin'UHHH\nMurdock - Tribes\nDj Hybrid - Its serious\nCalyx & Teebee - Elevate this sound\nD Bridge and Vegas - True romance\nRLGrime vs FutureCut vs Evol Intent - CoreHorns (2015 reflip)\nM Beat ft. General Levy - Incredible (Galvatron Remix)\nDj Hybrid - Badboy (Kartoon remix)\nJah Garvey - Love Is Gone (Bellota Dubs)\nBreak ft Kyo - Gave too much\nDj Hybrid - Underground Style\nDj L.A.B - Loud & clear",01:53:59,#002 - I Need Another Painkiller,FALSE,4sight,The After Party,
7,1efc70f7-ae68-4b18-953f-64c65f27f275,1589874263095,17th May 20,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/showartwork/Screenshot_2020_04_30_at_16.19.01.png,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/4sight_the_after_party_3_threshold_fm_128.mp3,"4sight's celebrating his birthday a day early, 'cos he's easy like a Sunday early afternoon. Music to fight off the whitey while you stare into your roast dinner to.\n\nOrbital - Belfast\nKinobe - Lucidity\nLemon Jelly - '95' AKA Make things right\nLazy Boy - It's all about love\nBill Withers - Lovely day\nJohnny Osbourne - No ice cream sound\nAlthea & Donna - Uptown top ranking\nBob Marley - Easy skanking\nBobby Mcferrin - Dont worry be happy\nMoloko - The time is now\nGuru ft. Erykah Badu - Plenty\nRichard Cheese - Crazy\nCurtis Mayfield - Move on up\nFunkdoobiest - Rock on\nKRS-One - A friend\nSleeve & Lowman - So fine\nModestep - Sunlight (2010 demo version)\nCause & Effect - Burnout\nLogistics - Together\nCalibre ft. Singing Fats - Drop it down\nTaktix - It's the way (Serum remix)\nJo - R-Type (2004 Shogun Audio remix)\nThe Avalanches - Tonight (Commix remix)\nRoni Size - Stictly social (Nu:Tone remix)\nBenny Page - Turn down the lights (Rhythm Beater remix)\nD Kay & Dj Lee - Wax'd (D Kay remix)\nStakka & Skynet Ft. Kemal & Rob Data - Biosfear\nTechnical Itch - Pressure drop (Kryptic Minds & Leon Switch remix)\nBad Company - Hornet (Neonlight remix)\nAndy C - Music is better\nUlterior Motive - Tape pack\nZinc ft Dynamite Mc - Creeper\nMetrik - Slipstream\nA Sides & MC Fats Ft. Regina - What you don't know (Makoto remix)\nOmni Trio - Renegade snares (Foul Play remix)\nWots My Code - Dubplate (Total Science remix)\n",01:44:30,#003 - Toothless Records,FALSE,4sight,The After Party,
8,1efc70f7-ae68-4b18-953f-64c65f27f275,1590346918856,24th May 20,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/showartwork/Screenshot_2020_04_30_at_16.19.01.png,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/4sight_the_after_party_4_threshold_fm_128.mp3,"4sight's had a week of hard partying. With supplies dwindling - and the clocking-in machine beckoning from over the horizon - he rolls out of bed, makes a brew and lays down some idyllic Sunday anthems.\n\nTracklist:\n\nThe Waterboys - Stolen child\nNightmares On Wax - Back to nature ft. Kuauhtli Vasquez & Wixarika Tribe\nDJ Shadow - Giving up the ghost\nEasy Star All Stars - Money\nThe Cure - A Forrest\nApex Twin - Windowlicker\nLazy Boy - Underwear goes inside the pants\nAct Of Dog - Duck Sailing\nMartha & The Muffins - Echo Beach\nThe Kiki Dee Band - I've got the music in me\nKatrina & The Waves - Walking on sunshine\nDynamite MC - Mar-Val-Luss\nMos Def - Next universe\nDanger Mouse & Jemini - Ghetto pop life\nA.D.O.R. - Let it all hang out\nBernard Cribbins - Gossip calypso\nEric Robinson - Music for you (outro)\nGarfunkel & Oates - Frozen lullaby\nTBP - Shout just around\nBugmix - Yodelin bug\nDreadzone - Little Britain\nTail - Forces (Trei remix)\nInsideinfo - Honey bee\nClipz - Cocoa\nDillinja - Bell Tune\nFresh - X-project\nRizna & Demolition Man - Fire (Urban Shakedown mix)\nPendulum - Masochist (Noisia remix)\nD Kay - The martians\nJohn B - Pressure 2003\nFresh - Signal",01:59:36,#004 - Underwear Goes Inside The Pants,FALSE,4sight,The After Party,
9,1efc70f7-ae68-4b18-953f-64c65f27f275,1590993125665,31st May 20,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/showartwork/Screenshot_2020_04_30_at_16.19.01.png,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/4sight_the_after_party_5_threshold_fm_128.mp3,"After a week of madness and uncertainty, the human pipe cleaner swoops in with two hours of niceness to level us out. Thank duck for that.\n\nTracklist:\n\nKinobe - Butterfly\nLemon Jelly - His majesty King Raam\nTracy Chapman - Mountains O'things\nSteve Harley & Cockney Rebel - Make me smile\nHot Chip - Over and over\nRichard Cheese - Yellow\nMarvin Gaye - This love starved heart of mine (It's killing me)\nGarfunkle & Oates - Self esteem\nThe Commodores - Easy (Funkanomics remix)\nGary Clail & On U Soundsystem - Two thieves and a lier\nKanka - Stepper style ft. Echo Ranks & Don Fe\nA.D.O.R. - One for the trouble\nBrand Nubian - All for one (Beat Junkie Sound edit)\nSouls Of Mischief - Never no more (76 seville mix) (Melo D edit)\nThe Pharcyde - Drop\nWreckx n Effect - Rump shaker\nAwesome 3 - Don't go\nShades Of Rhythm - Sweet sensation\nThe Ragga Twins - Spliffhead\nThe Streets - Blinded by the lights (Nero remix)\nRusko - Everyday\nThe Qemists - Dem na like me (Subscape dub)\nTwo Fingers - That girl (Spor remix)\nNeonlight - Heavy bettie\nThe Qemists - Hurt less\nJade - Audio hypnosis (vip)\nPhace - Flaky\nL33 - Oscillation\nRam Trilogy - Mind overload\nArtificial Intelligence - Uprising\nPharrell Williams - Happy (Melodramatic remix)\nSub Focus - Timewarp (vip)\nTaxman - Electric blue\nJaydan - Brock it up\nSerum & Bladerunner - Inner soul ft. MC Fats\nKabuki - Just hold on ft. Jenna G (Serum remix)\nStakka & K-Tee - Orange sunshine",01:59:56,"#005 - All For One, One For The Trouble",FALSE,4sight,The After Party,
10,1efc70f7-ae68-4b18-953f-64c65f27f275,1591546820478,7th Jun 20,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/showartwork/Screenshot_2020_04_30_at_16.19.01.png,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/4sight_the_after_party_6_threshold_128kbps.mp3,"Another week of chaos ripples across the Flat Earth, like a tsunami of unrelenting passion. In search of a pool of fleeting zen, we journey together towards a purposeful unity.\n\nTracklist:\n\nWilliam Orbit - Ogive No. 1 (Erik Satie)\nPrimal Scream - Come together\nLemon Jelly - Nervuos tension\nTracy Chapman - Across the lines\nKate Bush - Cloudbursting (2018 remaster)\nHorace Andy - Skylarking\nThe Streets - Lets push things forward\nCurtis Lynch ft. Kele La Roc & Red Rat - Thinking of you\nMorcheeba - Rome wasn't built in a day\nBicep - Atlas\nAriel Sharratt & Mathias Kom - Rise up Alexa\nRichard Cheese - Butterfly (crazy Town cover)\nQueen Latifa & De La Soul - Mama gave birth to the soul children\nVisionaries - If you can't say love\nThe Blues Brothers - Everbody needs somebody to love\nArchive - Agitation\nPolaris - Distant\nDaughter - Youth (Hybrid Minds remix)\nNasty Habits - Shadow boxing (Blu Mar Ten remix)\nRawthang - Epilogue VIP\nStakka & Skynet - Altitude\nFred V & Grafix - Ultraviolet (S.P.Y remix)\nBlack Sun Empire & Noisia - Lead us\nPendulum - Spiral\nSeba - Under the sun\nS.P.Y - By your side (BCee & Hybrid Minds remix)\nTaxman - TDK\nKrust - Kloakin device\nRay Keith - Dark soldier (Bladerunner remix)\nAndy C - Night flight (Shimon remix)\nRam Trilogy - The map\nBad Company UK - Bullet time (Spor remix)",01:59:00,#006 - Let's Push Things Forward,FALSE,4sight,The After Party,
